HREF,CONAME,EMAIL,PHONE,FAX,ADDRESS,PROFILE,FAILMSG,BIGCAT,SMALLCAT
http://www.thegreenbook.com/companies/gennal-engineering-pte-ltd/,Gennal Engineering Pte Ltd,,+65  63511844,+65  62820598,51 Kaki Bt Rd 2  Kaki Bt Warehouse Complex S(417863),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adapter-type-ball-bearings/
http://www.thegreenbook.com/companies/gennal-industries-pte-ltd/,Gennal Industries Pte Ltd,,+65  65087178,+65  62820598,18 Kaki Bt Rd 3 #02-07 Entrepreneur Business Centre S(415978),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adapter-type-ball-bearings/
http://www.thegreenbook.com/companies/maxweld-asia-pte-ltd/,Maxweld Asia Pte Ltd,,+65  64826966,+65  67566966,Blk 211 Woodlands Ave 9 #08-73 Woodlands Spectrum II S(738960),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Maxweld Asia Pte Ltd specializes in MIG, TIG, ARC welding machine, plasma cutting machine, Co2 Wire, flux cored wire, TIG rods, electrodes, tungstens, plasma torch, MIG torch & accessories, TIG torch & accessories, gas cutting torch & accessories, electrode dryers, welding cable, anti spatter gel/ spray, regulators, positioners table, etc… We are a one-stop solutions for your welding needs.
                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/2/
http://www.thegreenbook.com/companies/mass-technologies-pte-ltd/,Mass Technologies Pte Ltd,,+65  67634600,+65  67636316,7 Bt Batok St 22 S(659584),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Mass Technologies is specialized in 

Industrial Abrasives, Adhesives, Tapes, Protective Tapes, Automotive Products, Polishing Materials and  Safety Products & Marine Products.




 We strive to provide one stop industrial solution & products to our customers with the wealth of knowledge we have built up for the past two decades and the range of industrial products we carry , we are confident we are able to provide world class solution and services. We focus personalized customer service by constantly sharing product knowledge with our customers and valuing their feedbacks. Recognized by 3M as 3M Platinum Award Achiever since 1996.




 In order to add value to our customers, we have extended on products range to cover Abrasives, Adhesives, Safety Products, Tapes, Marine Products, Automotives Products, Specialize Wiper, Torchlight, Power and Pneumatic Tools, spanning across various industries.




 At Mass Technologies Pte Ltd, customer satisfaction is our priority. To achieve this, we are committed to deliver quality in our products, services and solutions. With the strong support of our business partners and dedicated staff, we strive to value-add by adopting an innovative work approach. With these strengths, we are confident of excelling, growing our organization.




 Concern for quality is of our major commitment. In our relentless pursuit for quality excellence, ISO9001:2008 Quality Management System has been evolved which incorporates both administrative and technical procedures. This provides our clients with the confidence that they are receiving professional services to the highest standards in all aspects from proposal level, through execution, to final reports and billing. Our commitment to quality is evident in the enduring relationships we have with long-term clients, as well as our ability to attract new clients. 

 


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/2/
http://www.thegreenbook.com/companies/viscotec-asia-pte-ltd/,ViscoTec Asia Pte Ltd,,+65 65693629,+65 63168361,18 Boon Lay Way #09-147 TradeHub 21 S(609966),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

ViscoTec Asia is specialized on producing extremely precise dosing and filling systems for all kind of medium to high viscous fluids, for example all kind of adhesives, pastes, silicones, food and cosmetics, etc. ViscoTec uses the endless-piston principle which allows highly precise, accurate, repeatable and process-safe dosing results. These products are mainly used in electronics manufacturing (for very small dosing quantities e.g. mobile phone production or LED), automotive production processes (for example glue- or solder paste dosing) as well as in food, cosmetics and pharmaceuticals production processes.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/three-bond-singapore-pte-ltd/,Three Bond Singapore Pte Ltd,,+65  62640022,+65  68632324,5 Joo Koon Cres   S(629009),"
										


											 
										


                                        


                                            
                                        


                                        


                                            ThreeBond originated from an idea that came to the founder when he saw drops of oil on a road. He decided to do a job to prevent a loss. In a few words, ThreeBond is truly a fine chemical technology company, whose development has had as its goal the efficient use of energy. We, ThreeBond, provide our customers with efficient solutions for the problems in development and manufacturing, and produce a variety of fine chemical products to solve their problems.





ThreeBond's products are now used in a wide variety of applications. They are deployed in automobiles and other vehicles, public construction materials, building materials, electric and electronic equipment, and high technologies. We hold the number one position in industrial sealants and adhesives in Japan, and we have won the faithful reliance of our customers.





We want to contribute to the world by using high technology to produce excellent products, and by helping to establish and spread the feelings of friendship that are essential to building a better society.
                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/surfmount-pte-ltd/,,,+65  64876836,+65  64876837,1007 Tai Seng Ave #01-2604  S(534411),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/uniwes-technology-s-pte-ltd/,Uniwes Technology (S) Pte Ltd,,+65  62758183,+65  62758182,102E Pasir Panjang Rd #03-03 Citilink Warehouse Complex S(118529),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/pts-system-s-pte-ltd/,PTS System (S) Pte Ltd,,+65  67780300,+65  67732262,3 Pemimpin Dr #05-00 Lip Hing Ind Bldg S(576147),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/packagers-pte-ltd/,Packagers Pte Ltd,,+65  67566522,+65  67567910,7 Senoko Loop   S(758146),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/nordson-s-e-asia-pte-ltd/,,,+65  67969500,+65  68969631,2 Corporation Rd #03-11/12 Corporation Pl S(618494),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/nlt-electronics-pte-ltd/,NLT Electronics Pte Ltd,,+65 67493100,+65 67417329,Blk 1014 Geylang East Ave 3 #04-190 S(389729),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-application-equipment/page/2/
http://www.thegreenbook.com/companies/warenest-hardware-s-pte-ltd/,Warenest Hardware (S) Pte Ltd,,+65  63162339,+65  63162303,51 Bt Batok Cres #02-03 Unity Centre S(658077),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/yew-cheong-asiapac-pte-ltd/,Yew Cheong (Asiapac) Pte Ltd,,+65  62962323,+65  62972323,51 Kallang Pl S(339176),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/united-industrial-products-pte-ltd/,United Industrial Products Pte Ltd,,+65  67469835,+65  67450385,Blk 1013 Geylang East Ave 3 #03-128  S(389728),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

United Industrial Products Pte Ltd

 (Formerly known as United Industrial Trading) specializes in providing Abrasives Wheels, Superior Diamond Wheels, CBN Wheels, Magnetic & Precision Tools for grinding & Milling, Machine Tools accessories, 


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/abrasive-cutting-wheels/page/3/
http://www.thegreenbook.com/companies/wacker-chemicals-south-asia-pte-ltd/,,,,,,,<twisted.python.failure.Failure scrapy.spidermiddlewares.httperror.HttpError: Ignoring non-200 response>,,
http://www.thegreenbook.com/companies/rohm-haas-electronic-materials-singapore-pte-ltd/,Rohm & Haas Electronic Materials Singapore Pte Ltd,,+65  68633190,+65  68633198,13 Tuas Link 3 S(638528),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-chemicals/page/3/
http://www.thegreenbook.com/companies/rohm-haas-electronic-materials-singapore-pte-ltd-tuas-/,,,+65  68626196,+65  68611510,11 Tuas Ave 12   S(639034),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesive-chemicals/page/3/
http://www.thegreenbook.com/companies/multistates-trading-co-pte-ltd/,Multistates Trading Co Pte Ltd,,+65  62698333,+65  63689392,7 Sg Kadut Ave   S(729644),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/mse-metal-systems-equipments-pte-ltd/,MSE Metal Systems & Equipments Pte Ltd,,+65  62666656,+65  62666646,26 Pioneer Cres #05-12 West Park Bizcentral S(628558),"
										


											 
										


                                        


                                            
                                        


                                        


                                            MSE Metal Systems & Equipment Pte Ltd was established in 1998 (formally know as Oceanic Engineering). Our principle activities are design & installation of warehouse storage systems to suit various requirements.
                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/moore-ridge-international-pte-ltd/,Moore Ridge International Pte Ltd,,+65  64521101,+65  64531101,51 Bt Batok Cres #02-21 Unity Centre S(658077),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Distributor and supplier of complete range of Automotive Equipments such as vehicle lift, motorcycle lift, car washing system, hot water cleaner, lubricating products, electronic tyre inflator, air hydraulic jacks, tyre changing solution, balancer, brake servicing, spray painting booth, two-storey parking lift, toolbox troley and etc.
                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/modern-singapore-access-equipment-pte-ltd/,Modern (Singapore) Access & Equipment Pte Ltd,,+65  62656558,+65  62645568,7 Chia Ping Rd S(619972),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Modern (Singapore) Access & Equipment Pte Ltd is one of the subsidiary companies of Modern (Int’l) P&M Holdings Ltd. Our operation commenced in early 1980 for hiring out selling of Steel Pipe Scaffoldings mainly imported from Japan. We are among the pioneer in the field and become one of the biggest scaffolding leasing companies soon afterwards, holding a constant stock of 200,000 sets of scaffoldings for providing rental service to the local contractors. Lately, we have completed our line of access equipment to provide access solution for every need. Now, we are also one of the leading companies in the field of mast climbers and mobile elevated work platform. Modern (Singapore) Access & Equipment Pte Ltd is committed to provide equipment that is safe, sound, stable and fitting for customers’ purpose. This is achieved through implementation of a relevant and effective quality management system, meeting customers, statutory, regulatory and industrial requirements and having a team of adequately trained employees.  “Be Customer Oriented, make Quality our label, Be considerable, make Sincerity our aim.”
                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/mhe-demag-s-pte-ltd/,MHE-Demag (S) Pte Ltd,,+65  63053500,+65  68621933,33 Gul Circle   S(629570),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/mastermark-pte-ltd-ubi-road-/,Mastermark Pte Ltd (Ubi Road),,+65  67416880,+65  67416881,61 Ubi Rd 1 #04-01 Oxley Bizhub S(408727),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/master-scaffolds-pte-ltd/,Master Scaffolds Pte Ltd,,+65  63927702,+65  63927703,145 Tuas View Sq  Westlink Techpark S(637749),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Scaffold Master was formed in 1997 and is proud to have been involved in several projects around the Island. Our Main activity is Scaffold erection, dismantle, and design for Construction and Marine Industry. We also undertake construction related works and have a separate division to handle these works.




Scaffold Master is an Approved Scaffold Contractor certified by the Ministry of Manpower. Scaffolds are the primary mode of access in most large structures and are widely used by fellow contractors and plant owners for the purpose of carrying out work and inspection of new constructions and marine maintenance works.




The two main types of scaffolds that we provide are system scaffolds and tubular scaffolds. We have a sizeable inventory of scaffold materials which has enabled us to take on major construction projects and maintenance contracts in the oil & gas and petrochemical plants.




All our scaffolds are constructed by certified scaffolders under the supervision of our qualified scaffold supervisors and where necessary certified by our professional engineer to be safe for use in accordance with the Factories (Scaffolds) Regulations 2004.




We provide project and maintenance services through our Group companies, leveraging on our principal competitive strengths which include an approximate 14-year track record, technical competency, efficient project management, good safety records, skilled manpower, quality workmanship and responsiveness to customers’ requests.




- Design, Erection, Modification & Dismantle of Scaffold Systems

- Sales & Rental of Scaffold Systems

- Sales & Rental of Scaffold Components & Parts

- Coupled with a complete workforce of more than 350 skilled scaffolders, Scaffold Master has been servicing clients with its varied types of scaffold systems that the company carries.

- The various scaffold systems are individually featured in our products section.

- Please also refer to our portfolio for our vast project experiences.

- Scaffold Master is a leading integrated service provider mainly for the oil and gas and petrochemical industries.

- We undertake projects as well as maintenance services on a routine and turnaround basis.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/manitou-asia-pte-ltd/,Manitou Asia Pte Ltd,,+65 68620771,+65 68620216,16 Neythal Rd S(628581),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/lian-hup-brothers-pte-ltd/,Lian Hup Brothers Pte Ltd,,+65  63670625,+65  63679959,18 Kranji Rd S(739461),"
										


											 
										


                                        


                                            
                                        


                                        


                                            Lian Hup Brothers was established in the year 1968. It went on to be incorporated into a Private Limited Company, by forming Lian Hup Brothers Pte Ltd, in the year 1980 and having our current factory located at No. 18 Kranji Road Singapore 739461.

 

Our company was incorporated due to the intensely focused vision of our Company's Chairman Mr. Chua Kim Seng, whose business and economic philosophy has embarked on the very needs of our Company. Due to the increase in local and foreign demand for heavy trucks and machinery, our focus turned to meet such high influx including any fabrication, additional modifications of heavy trucks, equipment & machineries.

  

Based on our experienced, we have developed an optimum solution to ensure fast & successful execution and delivery within a short period of time. It is also our commitment towards ""Quality Performance"", ""Quality products"" and ""On-time delivery"" to meet with our customers' expectation and satisfaction.

  

With this acute vision, lead by our Company's Chairman Mr. Chua Kim Seng and the management Team with diligence and with total commitments & integrity, we shall continue to play an important role in this growing industry as an active player.

 
Major Project:

 
- Marina Integrated resort

 
- Sentosa Integrated resort

 
- Exxon Mobile (Jurong Island)

 
- Shell (Bukom Island)

 
- Vopac (Sebarok)

 
- Tuas (Rec)

  
- MRT and LTA Projects

 
- HDB Project

 

                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/leeden-ltd/,Leeden Ltd,,+65  62681221,+65  62682838,1 SHIPYARD RD S(628128),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Leeden Group is a leading integration specialist in Welding, Gas and Safety.




Leeden’s customers include major oil and gas companies and contractors, shipbuilding and ship repair yards, oil rig, platform, jacket and floating production storage offloading (FPSO) systems as well as steel and pipeline fabricators across Asia. In 2012, Leeden Group became a member of Taiyo Nippon Sanso Corporation.




Headquartered in Singapore, Leeden has grown rapidly, expanding into Malaysia, Thailand, Vietnam, Indonesia, China, Philippines and Australia.




Leeden’s Safety Division provides total safety solutions covering the areas of:




1. Personal Protection




2. Fall Protection & Rescue Systems




3. Environment Protection and




4. Emergency Response.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/3/
http://www.thegreenbook.com/companies/foster-engineering-pte-ltd/,,,+65  68616611,+65  68611938,21 Gul Ave S(629661),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/4/
http://www.thegreenbook.com/companies/gisen-enterprise-pte-ltd/,Gisen Enterprise Pte Ltd,,+65  68429420,+65  68429423,68 Kallang Pudding Rd #02-03 SYH Logistics Bldg S(349327),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/4/
http://www.thegreenbook.com/companies/farcon-singapore-pte-ltd/,Farcon Singapore Pte Ltd,,+65  62851933,+65  62842933,113 Kaki Bt Ave 1  Shun Li Ind Pk S(415991),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/4/
http://www.thegreenbook.com/companies/everlasting-joining-trading-co/,,,+65 67861557,+65 67861557,Blk 151 Simei St 1 #05-37 S(520151),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/4/
http://www.thegreenbook.com/companies/used-machinery/,Used Machinery,,,,S,"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Used Machinery

 provides an online platform for companies and individuals to purchase and/or sell used machines with ease. With that, we aim to spread this service throughout Southeast Asia.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/ue-power-resources-pte-ltd/,UE Power & Resources Pte Ltd,,+65  68657388,+65  62689620,2 Gul St 4 S629234),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

A leading specialist in annual plant maintenance/ plant shutdowns and emergency power supply, UE POWER RENTAL is a division of UE Power & Resources Pte. Ltd. that specialises in the supply of power generators, transformers, loadbanks, boomlifts, distribution panels, power cables and accessories.




The Division owns a fleet of about 400 units of various types of power generators. Its power supply capacity range from 37KVA to 2500KVA.




The Division frequently participates in important national/international events held in Singapore. Examples are the Y2K power supply, the annual National Day Parade power requirement and various international exhibitions. In addition, the company also provides for plant maintenance requirements, emergency demands for main power failures and power source to shipyards.




In the last few years, the Company has built up a large fleet of supporting accessories which includes synchronisng panels, auto-transfer panels, distribution boards, load centres and power cables etc.




The Company's operation is run by a team of highly qualified specialist that consists of electrical engineers, field engineers and technicians.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/unipac-equipment-pte-ltd/,Unipac Equipment Pte Ltd,,+65  65432166,+65  65432220,96H Jln Senang   S(418488),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/unipac-engineering-s-pte-ltd/,,,+65 62428990,+65 65432220,8 Limau Ter S(465807),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/unimech-engineering-pte-ltd/,Unimech Engineering Pte Ltd,,+65  63550831,+65  63550627,Blk 8 Toa Payoh Ind Pk #01-1241 S(319060),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/terex-singapore-ltd/,,,+65 67342647,+65 63852569,391B Orchard Rd #23-01 Ngee Ann City Tower B S(238874),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/springwell-marketing-services-pte-ltd/,Springwell Marketing Services Pte Ltd,,+65  64830319,+65  64830917,50 Tuas Ave 11 #03-37 Tuas Lot S(639107),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/singapore-daito-engineering-pte-ltd/,Singapore Daito Engineering Pte Ltd,,+65  62614715,+65  62651055,19 Tuas Sth St 5   S(637650),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/rotomatik-s-pte-ltd/,Rotomatik (S) Pte Ltd,,+65  68968878,+65  68968082,51 Bt Batok Cres #06-03 Unity Centre S(658077),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Rotomatik (S) Pte Ltd

 was established in 1997 in Singapore during the Asia turmoil. We specialize in manufacture, design and sales of material handling system. These material handling systems are being used in the storage, movements, control and protection of materials where we ensure that the goods and products are safe throughout the process of manufacturing, consumption, distribution and disposal. We have carefully created our organization to serve the rapid changing face of today’s industries with personnel specializing in their respective area with high performance and eligibility. These material handling equipments are industrial crane and hoist systems, offshore and petrochemical products and ergonomic material handling equipment which industries are most needed.




At Rotomatik, we ensure the customers that having the high reliability material handling system is our long term commitment. And our service and maintenance teams provide a wide range of after care packages such as system modifications, preventive maintenance, and repair services to ensure our costumer’s piece of mind. These teams are well trained personnel’s, knowledgeable and experienced people on these services for the satisfaction of the customers.




Rotomatik is the sole-agent in Singapore for the leading German brand R. Stahl’s crane and hoist systems. And also Rotomatik (S) Pte Ltd is a distributor for Ingersoll-Rand’s material handling systems (Zimmerman, ARO & Silver Series).




The Strength




Rotomatik ensures high quality, reliability and safety on crane design and construction. To obtain the standards for the benefits and protection of the customers, we make sure that the teams that are highly trained, experienced engineer and technical personnel in applying the skills of trade and capabilities to complex jobs.




At Rotomatik, deliberating thinking and delicate acting in terms of quality, reliability and safety has become commonplace throughout sales and project execution connect with efficient after-sales services.




The Commitment




Rotomatik (S) Pte Ltd

 

is committed to strive for excellence in its field by subscribing to sound engineering and business practice. And at Rotomatik, we ensure that the varying needs and demands of the individual client’s satisfactions are properly served.




The Track Record

Over the years, Rotomatik delivered many successful installations in a wide range of Industries. The lists of Rotomatik satisfied clients includes Volvo Singapore, Singapore Aerospace Manufacturing, PUB, Mindef, Kimberly Clark, Jurong Shipyard, Infineum Singapore, GlaxoSmithKline, Flextronic, Dayen, 3M Singapore and many more industrial companies.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/oceanic-offshore-engineering-pte-ltd/,Oceanic Offshore Engineering Pte Ltd,,+65  62626662,+65  68981728,14 Jln Tukang S(619253),"
										


											 
										


                                        


                                            
                                        


                                        


                                            We are a niche company widely credited as being the catalyst for the major advancement in the engineered design of heavy lift slings, state-of-the-art rigging machinery and equipment players in this region. Backed by a dynamic workforce that constantly keeps ahead of skills and technologies, Oceanic prides itself for consistently providing innovative solutions through practical designs. 
 

 


Extensive research work, design and engineering, manufacturing, installation and commissioning are complemented by over 20 years experience in the heavy lift business. Added to that, is an extensive and well regarded network of partners and associate companies to fully support its operations.

                                        


                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/aerial-work-platforms/page/4/
http://www.thegreenbook.com/companies/industrial-links-international-pte-ltd/,Industrial Links International Pte Ltd,,+65  68616968,+65  68611681,149 Woodlands Ind Pk E5   S(757511),"
										


											 
										


                                        


                                            
                                        


                                        


                                            

Industrial Links International Pte Ltd

's strength lies in its expertise in providing fast track construction solutions in today's increasingly fast-paced life with tight schedules and the labour shortage construction market in Asia. 




 




We aim for zero reworks and increasing productivity so that we continue to remain as a preferred trusted business partner in the industry.


                                        
                                    ",,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/5/
http://www.thegreenbook.com/companies/h-b-fuller-singapore-pte-ltd/,,,+65  62215833,+65  62213225,8 Marina Blvd #05-02 Marina Bay Financial Centre S(018981),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/5/
http://www.thegreenbook.com/companies/in-mat-technologies-s-pte-ltd/,In-Mat Technologies (S) Pte Ltd,,+65  64932000,+65  67410832,623 Aljunied Rd #05-09 Aljunied Ind Complex S(389835),,,http://www.thegreenbook.com/products/search/architect-builder-contractor-guides/,http://www.thegreenbook.com/products/adhesives/page/5/
