NAME,DESC,IMGURL,PRICE,SPRICE,MEASURE
Givvo Brown Shimeji Mushrooms,"Product of China. Shimeji Mushroom is the third most popular mushroom in Japan, after shitake and enoki. They are called beech mushrooms because they often grow on fallen beech trees. Surprisingly, they have no aroma. But their texture once cooked is smooth, crunchy. Shimeji mushrooms are buttery and nutty and you must cook Shimeji mushrooms. They are perfect to pair with noodles.",/i/m/8885003321121_0059_1448861630804.jpg,2.0,1.5,150 g
Airflown Organic Hass Avocado,"Product of Peru. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/8719172062267_1_1435900262202.jpg,9.95,0.0,300 g
Fresh & Natural Baby Carrots,Baby Carrots are excellent in salads.,/i/m/078783001088_0006_1492100244088.jpg,1.6,0.0,250 g
AirFlown Button Mushroom White,"Product from Europe: White Button Mushrooms have fresh and mild earthly flavor, almost no calories, and are easy to prepare. Sliced thinly and thoroughly clean, buttons are amazing ingredients to be included in a sandwich. Add button mushrooms to fresh salad, stir fry them or include in a burger. They are absolutely delicious cooked or prepared raw.",/i/m/White_Button_Mushrooms_1441159872206.JPG,4.95,0,250 g
Givvo Thai Yam,Product of Thailand. Thai yams are known for their superior taste and texture and are used for the making of several Chinese delicacies such as yam cakes and pastries.,/i/m/8885003320032_0174_1448861538106.jpg,5.6,3.05,600 g
Organic 4 Life Organic Beetroot,"Product of Australia.Iconic and colorful, red beets are delicious cooked or raw, hot or cold, and they're packed with nutrients, too. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.",/i/m/Beetroot_1426045494862.JPG,8.95,0.0,500 g
YUVVO Turnip,"Product of Malaysia. A root vegetable commonly grown in temperate climates worldwide for its white, bulbous taproot.",/i/m/8885003329097_0010_1476354738687.jpg,1.65,0.0,750 g
BELLVO Pa Bo Chye,"Product of Malaysia. Generally found in Asian Cuisines, this vegetable fares quite nicely as a core ingredient for a simple soup.",/i/m/8885003328748_0029_1470814778257.jpg,2.4,0.0,600 g
Givvo Pak Choi,Product of Malaysia. A leafy veg popular in Asian cuisine.,/i/m/88850033268674_1433994938795.jpg,1.75,0.0,200 g
AirFlown Organic Leeks,"Product of Netherlands. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/8719172062687_0128_1448214543119.jpg,9.95,0.0,500 g
Givvo Chinese Tang Oh,Distinct mildly-pungent vegetable popular with steamboat.,/i/m/8885003328380_0006_1484545794352.jpg,3.4,0.0,200 g
Givvo Chye Sim,"Product of China. Chye Sim have smooth, dark green leaf blades forming a cluster reminiscent of mustard or celery. Chinensis varieties are popular in southern China and Southeast Asia. Being winter-hardy, they are increasingly grown in Northern Europe.",/i/m/8885003322005_1433995114819.jpg,1.95,0.0,300 g
Mushroom Gourmet Woodear Mushrooms,"Wood ear mushrooms have the appearance of black trumpet mushrooms, the often large mushroom appearing thin and frail, curled tightly into itself exposing its snowy underside against its black cap. The wood ear resembles the crunchy and gelatinous consistency of jelly fish or squid. It has a delicate forest aroma and it is virtually absent of flavor, utilized solely for its textural properties.",/i/m/88864581017020134_1441196936634.jpg,1.85,0,100 g
Airflown Chicory/ Belgian Endive,Product of Netherlands. Chicory leaves are usually eaten raw as salad leaves.,/i/m/8719172060393_5_1435861713101.jpg,5.95,0.0,500 g
Airflown Mini Cucumbers,"Product of Netherlands. Cucumbers are a wonderfully refreshing vegetable, with a crisp texture and cool taste. They're available in a number of different varieties, all of which can be used raw in salads, sandwiches, dips and accompaniments, as well as cooked in soups.",/i/m/8719172060430_1_1435862256336.jpg,4.95,0,1 per pack
Givvo Lime Leaves/ Kaffir Lime Leaves,"Product of Thailand. Kaffir lime leaves come from the Kaffir lime tree, a lime tree native to Indonesia. The leaves are highly aromatic and suitable for Asian cuisines, including Thai, Indonesian, Cambodian and Lao cuisines.",/i/m/8888383323877_0104_1448861913540.jpg,0.95,0.0,50 g
AirFlown Shallots,"Product of France. Shallots are a quintessential ingredient in Bearnaise sauce and classic French vinaigrettes. Shallots pair well with butter, cream, citrus and vinegar.",/i/m/8719172062434_0063_1448214342556.jpg,3.95,0.0,250 g
Organic 4 Life Organic Red Potatoes,Product of Australia. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.,/i/m/Red_Potatoes_1426046039420.JPG,5.95,0.0,500 g
Givvo Puay Leng Spinach,Product of China. A leafy veg popular in Asian cuisine.,/i/m/88850033251430172_1441196624786.jpg,1.65,0.0,250 g
Givvo French Beans,"Product of Malaysia. French beans or fine beans, is a variety of green bean that is longer, thinner, crisp, and tender. Green beans are often steamed, boiled, stir-fried, or baked in casseroles.",/i/m/88850033265776_1433995040954.jpg,1.55,0,200 g
Givvo Red Onions,"Product of Australia. Red onions have a slightly sweeter and milder flavor than brown onions. Also known as Spanish onions, they are used both raw and cooked. They're great in salsas, salads and dips, as well as in pasta sauces and cooked vegetable dishes. Red onions are available all year round.",/i/m/8885003324634_6_1434607258969.jpg,3.9,0,500 g
Givvo Beijing Cabbage,"Product of China. The crisp and fleshy leaves are loaded with tart tanginess and a surprisingly pleasing aroma. Use chopped in stir-fries and salads or simply boil the leaves and serve with a little butter, salt and pepper.",/i/m/8885003321046_0228_1448861605628.jpg,1.25,1.1,700 g
BELLVO Yellow Cherry Tomato,"Product of Malaysia. Cherry tomatoes are a very small variety of tomato that has outstanding antioxidant content which makes it a staple item across all cuisines and every salad mix. Yellow tomatoes have lots of niacin and folate, less vitamin C, less lycopene and tastes milder and less acidic than red tomatoes.",/i/m/8885003328441_0061_1470814553359.jpg,1.55,0.0,320 g
BELLVO Zucchini Green Courgettes,"Product of Malaysia. Categorized as a summer squash that has a thin, soft skin and soft edible seeds. It is slightly smaller at the stem end and can be dark green, yellow or pale green in color. The flesh is a pale greenish-white and has a delicate, almost sweet flavor.",/i/m/8885003328243_0081_1470814527311.jpg,3.45,3.0,700 g
YUVVO Holland Potato,"Product of China / Holland depending on season. An important food staple and the number one vegetable crop in the world. Usually baked, mashed or roasted.",/i/m/8885003329011_0008_1476354573739.jpg,2.35,1.2,800 g
Givvo Fine Asparagus,"Product of Thailand. Fine asparagus are loaded with all the same full-flavored earthiness as regular asparagus. It is much thinner yet delivers a sweet crunch with every bite. Asparagus can be prepared in many different ways: steamed, roasted , blanched or raw, they are guaranteed to add elegance to any dish. When cooked, asparagus develops pleasant notes of toasted almonds, artichoke, and butter.",/i/m/8885003326553_0100_1448861765210.jpg,1.95,0.0,100 g
Givvo Iceberg Lettuce,"Product of Malaysia. The iceberg lettuce is used for everything from sandwiches to coleslaw. Its leaves are pale green, and quite firm and crisp in texture. Iceberg lettuce has a refreshing flavor, and is available all year round.",/i/m/8885003324207_0130_1448861665507.jpg,1.6,0.0,1 per pack
Givvo Spring Onions Scallions,"Product of China. Spring Onions are the green shoots from immature onions, picked before the bulb has time to mature. They have a mild onion flavor, and are commonly used raw in salads, as well as cooked in stir fries and pasta sauces. They are available all year round.",/i/m/88850033267512_1433994958714.jpg,2.5,0.0,200 g
Givvo Old Ginger,"Product of Malaysia. Ginger is used a lot in Asian and Indian cuisine. It is sweet and floral on your tongue, tickles your sinuses, and warms the back of your throat. Ginger brings out the flavor in sweet and savory foods and works very well in curries, marinades and stir-fries.",/i/m/8888383323761_0225_1448861886869.jpg,1.14,0.0,200 g
Givvo Celery,"Product of USA/ Australia. Celery is a staple in any cook's kitchen as it is a versatile ingredient with a deep clean taste. It puts the crunch in salads and when sauteed, celery provides a gentle, herby backbone for soups and stews.",/i/m/8885003320070_0122_1448861548246.jpg,3.45,0.0,750 g
BELLVO Yellow Capsicum Bell Pepper,"Product of Malaysia. Known as sweet pepper or bell pepper, it has a characteristic bell shape with crunchy, thick fleshy texture and are rich source of vitamin-C.",/i/m/8885003328540_0092_1470814627594.jpg,2.1,1.4,200 g
YUVVO Spring Onion,"Product of Malaysia. Hollow green leaves that grow from immature onions, picked before the bulb has time to mature. They have a milder taste than onion. Used mainly as garnish.",/i/m/88850033293010035_1482318774370.jpg,0.55,0.0,80 g
Givvo Baby Shanghai Green,"Product of China/ Malaysia/ Thailand. Fresh Baby Shanghai Green is one of the most popular vegetables in Asian cuisine. It is relatively cheap, easy to prepare and quick to cook.",/i/m/8885003325648_0001_1490693128008.jpg,1.8,0.0,150 g
Givvo Japanese Sweet Potatoes,"Product of Vietnam. Sweet potatoes don't have to take a long time to prepare. Cutting them into 1/2-inch slices and steaming them for just 7 minutes not only brings out their great flavor but helps to maximize their nutritional value. And you can add cinnamon, nutmeg, and/or cloves for extra flavor and nutrition.",/i/m/8885003326270_0166_1448861748507.jpg,2.9,0,500 g
Givvo Italian Wild Rocket Arugula,Product of Italy. This peppery-tasting salad green gives a real lift to all kinds of salads and side dishes. It's also delicious stirred through pastas or risottos just before serving. Rocket is also known as arugula.,/i/m/8885003324405_1_1434606930509.jpg,4.55,4.15,125 g
YUVVO Small Medium Red Onions,"Product of India. Red onions have a slightly sweeter and milder flavor than brown onions and are often used both raw and cooked. They're great in salsas, salads and dips, as well as in pasta sauces and cooked vegetable dishes.  Average diameter ranges between 1.5 - 3 inches",/i/m/8885003329325_0017_1476355008860.jpg,1.9,0.0,1 kg
BELLVO Celery Chinese,"Product of Malaysia. The oriental variety features thin, hollow, succulent stalks. Its leaves and stalks carry more intense flavor than the continental variety.",/i/m/8885003328564_0002_1470814647629.jpg,0.8,0.0,100 g
Saute Solo Fine Beans Topped and Tailed,Fine Beans.,/i/m/9351278000188_0002_1481555959687.jpg,3.15,0.0,200 g
BELLVO Zucchini Yellow Courgettes,"Product of Malaysia. Categorized as a summer squash that has a thin, soft skin and soft edible seeds. It is slightly smaller at the stem end and can be dark green, yellow or pale green in color. The flesh is a pale greenish-white and has a delicate, almost sweet flavor.",/i/m/8885003328250_0063_1470814536879.jpg,4.1,0.0,700 g
Organic 4 Life Organic Potato,Product of Australia. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.,/i/m/White_Potatoes_1426046255512.JPG,6.45,0.0,500 g
Givvo White Shimeji Mushrooms,"Product of China. Shimeji Mushroom is the third most popular mushroom in Japan, after shitake and enoki. They are called beech mushrooms because they often grow on fallen beech trees. Surprisingly, they have no aroma. But their texture once cooked is smooth, crunchy. Shimeji mushrooms are buttery and nutty and you must cook Shimeji mushrooms. They are perfect to pair with noodles.",/i/m/8885003321114_0063_1448861622351.jpg,2.4,1.5,150 g
Airflown Organic Carrots,"Product of Netherlands. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/87191720622360157_1441196568649.jpg,9.95,0,1 kg
Alfalfa Sprouts,Product of Australia. Alfalfa sprouts add interesting flavor and texture to salads and sandwiches. They are tiny silvery shoots with tiny green leaves at their tips. They have a mild flavor and slightly crisp texture.,/i/m/9324152000086_0088_1441190571626.jpg,1.85,0.0,125 g
Organic 4 Life Organic Brown Onion,"Product of Australia. Brown onions are the most widely used and readily available variety of onion. They add flavor and depth to all kinds of dishes, and can be roasted, sauteed, stir fried, boiled, barbequed or grilled. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.",/i/m/Brown_Onions_1426045645204.JPG,6.65,0.0,500 g
Airflown Celery Sticks,"Product of Netherlands. Celery makes a great low-fat snack, but it can also be used in sandwiches, salads and even in cooking. Celery is composed of long, pale green and crisp stems, topped with feathery green leaves.",/i/m/87191720605771_1435901991092.jpg,5.65,0,400 g
Givvo Green and Red Coral Lettuce,"Product of Malaysia. Coral lettuce has quite tightly crinkled leaves, resembling coral in shape. The leaves are soft and delicate to touch. Available in red and green varieties, coral lettuce has a mild, slightly bitter flavor.",/i/m/8885003323033_4_1434606783336.jpg,3.85,0.0,200 g
Saute Mixed Rainbow Stir-fry Pack,"Pak choi, Carrots, Red cabbage, Tenderstem Broccoli, Fine Beans, Baby corn, Salad onions.",/i/m/9351278000027_0022_1481555913189.jpg,5.0,0.0,220 g
Givvo Chinese Cabbage Wong Bok,"Product of China. This brightly flavored cabbage has crispy, wafer-thin leaves. Use in any recipe that calls for standard green cabbage. Chinese cabbage is a source of vitamin A, folic acid, and potassium.",/i/m/Chinese_Cabbage_1449539820230.JPG,6.95,4.1000000000000005,1.5 kg
Saute Mixed Baby Veg Stir-fry Pack,"Pak Choi, Baby corn, Courgettes, Sugar snap Peas, Carrots, salad Onions, Coriander, Garlic, Ginger, Chilli.",/i/m/9351278000133_0021_1481555936045.jpg,5.75,0.0,240 g
Sustenir Agriculture Fresh Toscano Kale,"Our Toscano variety offers extra dark green savoyed leaves. These rich, tender leaves have a softer texture than the curly varieties of kale. Great for Kale first timers, our Toscano Kale is milder tasting whilst still giving you all the juicy nutrition. Grown in perfect conditions, this product is truly perfected, with deliciously crunchy and edible stalks, none of this will ever go to waste.",/i/m/0799439728486_1478699534118.jpg,8.55,0.0,200 g
Givvo Turmeric Yellow Ginger,"Product of Malaysia. Turmeric has a peppery, warm and bitter flavor and a mild fragrance slightly reminiscent of orange and ginger, and while it is best known as one of the ingredients used to make curry, it also gives ballpark mustard its bright yellow color. Turmeric is a great spice to complement recipes that feature lentils.",/i/m/8888383323778_0218_1448861895561.jpg,0.6,0.0,100 g
Airflown Little Gem Lettuce,"Product of Spain. Little Gems look like tiny versions of Romaine lettuce, with a crisp, crunchy texture and a sweet flavor.",/i/m/8719172060225_4_1435902994204.jpg,4.95,0.0,2 per pack
BELLVO Yu Mak Chye,Product of China. A green and leafy vegetable that almost look like romaine lettuce. It has tasty leaves that are suitable for salads and stir-frying.,/i/m/8885003328403_0004_1470814545221.jpg,2.3,0.0,300 g
Givvo Black Baby Kale Leaves,"Product of Australia. Kale freezes well and tastes sweeter and more flavorful after being exposed to a frost. Tender kale greens can provide an intense addition to salads, particularly when combined with other such strongly flavored ingredients as dry-roasted peanuts, soy sauce-roasted almonds, red capsicum flakes, or a sesame-based dressing.",/i/m/8885003324597_4_1434607092380.jpg,4.95,0.0,125 g
Givvo Long Beans,Product of Malaysia. These beans are cooked as you would green beans. They have a mild asparagus-like flavor and are delicious sauteed or steamed. You can use them as you do any green bean in your cooking.,/i/m/88850033265840214_1441196725824.jpg,1.9,0,200 g
YUVVO Chye Sim,"Product of Malaysia. Thick stem with broad green leaves and bunch of yellow flowers.  It is fresh, firm and crisp.",/i/m/8885003329233_0001_1476354948814.jpg,1.15,0.9500000000000001,220 g
BELLVO Sweet Potato Local,Product of Malaysia. Its yellow flesh stands out from its red skin which is thin and edible.,/i/m/8885003328700_0073_1470814751383.jpg,4.95,4.0,1 kg
Red Washed Potatoes,"Product of Australia. Red washed potatoes have a thin red skin and creamy white flesh. They have a firm, solid texture and stand up well to boiling, making them perfect for stews and salads. Many of the nutrients are found in the skin so look for recipes that leave the skin on.",/i/m/IMG1582_1411025786407.JPG,4.5,0.0,1 kg
BELLVO Cabbage Wongbok Baby,This is one of the popular leafy-cabbage vegetables in mainland China.,/i/m/8885003328519_0027_1470814603519.jpg,1.55,1.4500000000000002,250 g
Givvo Long Aubergine/ Brinjal,"Product of Malaysia. Brinjals are mildly sweet, moist and never bitter. Because of their small size, the silky flesh is especially tender and will cook quickly. Try them sliced, brushed with olive oil and salt, and grilled or roasted. They also make a great addition to curries and stir-fries.",/i/m/8885003326171_0120_1448861744444.jpg,2.65,0.0,500 g
YUVVO Long Bean,Product of Malaysia. They have a mild asparagus-like flavor and are delicious sauteed or steamed. You can use them as you do any green bean in your cooking.,/i/m/8885003329202_0001_1476354920877.jpg,1.6,0.0,200 g
Givvo Yellow Onions,"Product of Malaysia. Spicy, juicy, baseball-sized bundles of flavor. These pungent staples release their flavor when sauteed, braised, grilled, or roasted. Dredge with flour and deep-fry for decadent onion rings. These tear-inducing onions are usually considered too strong for eating raw.",/i/m/Brown_Onions_1437700375019.JPG,1.0,0.0,500 g
Earthbound Organic Avocado,"Product of the USA - please note Best Before date is in US format: mm/did/yyyy, Product of USA.Fresh avocados are nutrient rich and wonderfully versatile, delicious in salsas, sandwiches, salads and dressings even by themselves with a splash of balsamic. Organic produce is grown without chemical fertilizers, pesticides, fungicides, preservatives or GMOs.",/i/m/Avocado_1426045271082.JPG,9.95,0,3 per pack
Givvo Australian Red Washed Potatoes,"Product of Australia. Red washed potatoes have a thin red skin and creamy white flesh. They have a firm, solid texture and stand up well to boiling, making them perfect for stews and salads. Many of the nutrients are found in the skin so look for recipes that leave the skin on.",/i/m/8885003328113_0148_1448861848276.jpg,3.95,0.0,1 kg
Mushroom Gourmet Portobello Mushrooms,"Portabellas are fully-grown brown mushrooms, with a large, light tan cap. They are the largest of all domestic mushrooms. Since they are grown to a large size, portabellas lose some moisture, giving them a meaty texture and earthy taste. Can be grilled, baked, or deep-fried, are great as an appetizer, side dish or entree. Because of their natural meatiness, Portobello mushrooms are great meat substitutes with no fat, sodium, or cholesterol.",/i/m/Portobello_Mushrooms_1435542037790.JPG,4.95,0.0,250 g
Givvo King Oyster Mushroom,"Product of Thailand. Oyster mushrooms are as delicious as they are beautiful. Wonderful in risottos, soups, and creamy pasta sauces. Relatively tender when cooked, offering sweet, pleasant, and sometimes almond-like fragrance. Delicate and cook very quickly, making them a great option for quick meals, vibrant stir-dry's and simple soups.",/i/m/8885003321848_0071_1448861657392.jpg,3.4,0.0,200 g
Saute Solo Tenderstem Broccoli,Tenderstem Broccoli.,/i/m/9351278000232_0008_1481556046701.jpg,3.95,0.0,200 g
AirFlown Organic Cucumbers,"Product of Spain. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/8719172062625_0086_1448214490052.jpg,5.95,0.0,1 per pack
Airflown Organic Tomatoes On The Vine,"Product of Netherlands. Organic foods are foods produced by organic farming. While the standards differ worldwide, organic farming in general features cultural, biological, and mechanical practices that foster cycling of resources, promote ecological balance, and conserve biodiversity.",/i/m/8719172062106_1_1435900560715.jpg,7.95,0.0,500 g
Givvo Sio Pai Chye,Product of Malaysia. A leafy veg popular in Asian cuisine.,/i/m/8885003326898-3_1434531409599.jpg,1.9,0.0,200 g
BELLVO Bitter Gourd Baby,They are very delicious and not as bitter as the regular ones.,/i/m/8885003328502_0059_1470814595944.jpg,1.75,1.1,300 g
Givvo Shanghai Green,"Product of China/ Malaysia/ Thailand. Fresh Baby Shanghai Green is one of the most popular vegetables in Asian cuisine. It is relatively cheap, easy to prepare and quick to cook.",/i/m/8885003322029_0129_1442254407533.jpg,1.05,0.0,250 g
Nai Bai,"Product of China/ Malaysia/ Thailand. Fresh Nai Bai is one of the most popular vegetables in Asian cuisine. It is relatively cheap, easy to prepare and quick to cook.",/i/m/8885003324320_0134_1442254433345.jpg,2.15,0.0,300 g
Givvo Purple Sweet Potatoes,"Product of Vietnam. Sweet potatoes don't have to take a long time to prepare. Cutting them into 1/2-inch slices and steaming them for just 7 minutes not only brings out their great flavor but helps to maximize their nutritional value. And you can add cinnamon, nutmeg, and/or cloves for extra flavor and nutrition.",/i/m/8885003325860_0159_1448861727185.jpg,2.35,1.75,500 g
YUVVO Round Brinjal,Product of Malaysia. Pale violet with green streaked skin. Palm size.,/i/m/8885003329295_0001_1476354997544.jpg,1.7,0.0,300 g
White Radish,"Fresh White Radish individually wrapped to preserve freshness and for your convenience. Generally regarded as a detoxifying vegetable, radishes help to cleanse the kidneys, urinary system, colon, skin disorders and (believe it or not) our respiratory system. So add some radishes to your diet to stay in the pink of health.",/i/m/IMG1051_1411028973080.JPG,1.6,0.0,850 g
Yuvvo Broccoli,"Small amount of green flower heads on edible, thick, sturdy stalk.",/i/m/88850033309560109_1488878658894.jpg,1.8,1.1,1 per pack
DICKY BILL Spinach,"Product of Australia. An excellent source of vitamins, Spinach are a common vegetable that can be cooked easily or simply eaten raw in salads.",/i/m/9350664000108_0011_1490866628048.jpg,3.95,0.0,100 g
YUVVO Kang Kong,"Product of Malaysia. Leaves are flat, long, narrow and arrow-shaped. Stems are long and hollow.",/i/m/8885003329172_0001_1476354886027.jpg,0.65,0.0,220 g
Givvo Baby Chye Sim,"Product of China/ Malaysia/ Thailand. Fresh Chye Sim is one of the most popular vegetables in Asian cuisine. It is relatively cheap, easy to prepare and quick to cook.",/i/m/8885003325617_0001_1490693088037.jpg,1.9,0.0,200 g
Givvo Peeled Garlic,"Product of China. Peeled for your convenience. This year-round essential adds earthy and robust flavors to any dish you pair it with. Whether you saute with onions, rub on chicken before roasting or prepare your favorite Asian dish, we'll provide all the freshly peeled garlic you'll need.",/i/m/8885003325129_0083_1448861712782.jpg,1.6,0.0,200 g
Mushroom Gourmet White Button Mushrooms,"Premium white button mushrooms from Holland. The color of the white mushroom may vary from bright white to an off-white. Its woodsy flavor becomes stronger with cooking. Serve in soups, salads, appetizers, and entrees, a great side dish with any meal.",/i/m/8886458101764_1429185528282.jpg,4.4,0.0,250 g
YUVVO Sio Peck Chye,"Product of Malaysia. Flat, light-green petioles with broad, oval, green leaves. Popular leafy veg in Asian cuisines.",/i/m/8885003329226_0001_1476354940843.jpg,0.75,0.0,220 g
YUVVO Round Spinach,"Product of Malaysia. Thin, long slender stems with tender round green leaves.",/i/m/8885003329219_0001_1476354933121.jpg,0.65,0.0,220 g
YUVVO French Bean,"Product of Malaysia. The raw produce is greenish and elongated. It is fresh, firm and crisp.",/i/m/8885003329134_0001_1476354822932.jpg,2.0,1.4000000000000001,200 g
Airflown Red Cherry Tomatoes,"Product of Netherlands. These are multi-purpose tomatoes - use them in salads, sandwiches, pasta sauces, soups, stews and salsas. Gourmet tomatoes are available all year round.",/i/m/8719172060454_1_1435902483566.jpg,3.95,0,250 g
Organic 4 Life Organic Butternut,"Product of Australia. Butternut pumpkins are pear-shaped, with pale orange-brown skin and brightly colored orange flesh. They have a sweet, slightly nutty flavor and are particularly good pureed or made into soup. Organically produced to ensure that it does not have any chemical residue. Awarded the 'Australian certified organic' certification.",/i/m/Butternut_a_1426045693187.JPG,5.8,0.0,450 g
BELLVO Brussels Sprouts,"Product of Australia. They are small, leafy green buds resembling like miniature cabbages in appearance.",/i/m/8885003328724_0012_1475617116104.jpg,4.7,0.0,250 g
Mushroom Gourmet Sliced White Button Mushrooms,"Sliced and packed for your convenience. Premium white button mushrooms from Holland. The color of the white mushroom may vary from bright white to an off-white. Its woodsy flavor becomes stronger with cooking. Serve in soups, salads, appetizers, and entrees, a great side dish with any meal.",/i/m/88864581066080139_1441197067420.jpg,3.65,0,200 g
Givvo Oyster Mushrooms,"Product of Malaysia. Oyster mushroom's odor is very specific, as it combines anise with freshness and earthy smell and the taste is mild, not too strong, but resembling to the oyster taste. These mushrooms are always cooked and afterwards integrated in the dishes, through many preparation methods: stir-fried, deep-fat fried, braised or sauteed, with fish, as part of casseroles or with chicken dishes.",/i/m/8885003321800_0080_1448861648658.jpg,1.9,1.5,150 g
Givvo Pea Shoots Dou Miao,"Product of Malaysia. Pea shoots have long been prominent in Asian cuisine. You can eat pea shoots raw in a fresh salad, they can take the place of the more traditional lettuce or simply enhance it with pea shoot's spring flavor. You can stir fry them with sesame oil and garlic, as has long been done in Asian cooking. These greens can also brighten up a spring pasta dish, contributing a fresh, soft taste.",/i/m/8885003320087_0115_1448861557616.jpg,2.55,0.0,250 g
